response,base_graph_id,split,size_m,objective,n_levels,eta,intercept,RMSE,slope_vs_D
P_opt,g-0510569b7dbe24ff,development,18,O0,6,-0.0335487205979346,-2.585532697056379,0.17787963703595058,
P_opt,g-0510569b7dbe24ff,development,18,O2,6,-0.0888099898392819,-2.3688496898673463,0.053695793576500235,
P_opt,g-0510569b7dbe24ff,development,18,O3,6,0.10829893557042393,-1.4033554308801814,0.10832501226943568,
P_opt,g-0deca2d7d26bc264,extrapolation_holdout,20,O0,6,0.26299357661869355,-2.179413923373037,0.32455010886750096,
P_opt,g-0deca2d7d26bc264,extrapolation_holdout,20,O2,6,0.11040953861402307,-2.445718252263305,0.2277829601644505,
P_opt,g-0deca2d7d26bc264,extrapolation_holdout,20,O3,6,1.9236408528016202,6.727142850892052,0.6641454558620873,
P_opt,g-22d56a3beb2cd856,development,14,O0,6,0.3343979903771132,-0.9124745910577103,0.15540436496845472,
P_opt,g-22d56a3beb2cd856,development,14,O2,6,0.053189485172034014,-1.7015120620136424,0.10415509780022461,
P_opt,g-22d56a3beb2cd856,development,14,O3,6,0.0647615220847156,-1.661217975069101,0.10278866112217516,
P_opt,g-275f626d73d8e8bd,development,12,O0,6,-0.1614292364689686,-2.5778226202597816,0.44332826907257866,
P_opt,g-275f626d73d8e8bd,development,12,O2,6,-0.24269378679932688,-2.442410626669019,0.13724258963482866,
P_opt,g-275f626d73d8e8bd,development,12,O3,6,-0.39527025513459224,-2.9050956203033094,0.10822806186144125,
P_opt,g-2fd196f1ec0acd82,development,12,O0,6,0.42970972144967956,0.12178616115779643,0.07436204956547603,
P_opt,g-2fd196f1ec0acd82,development,12,O2,6,0.37684670153068284,0.08723050435777238,0.07918436603729787,
P_opt,g-2fd196f1ec0acd82,development,12,O3,6,0.3962369676577191,0.1577669857322619,0.08738631952823889,
P_opt,g-3115314f81a28bbb,interpolation_holdout,14,O0,6,-1.1911303735708947,-6.535410159267376,0.429499442114172,
P_opt,g-3115314f81a28bbb,interpolation_holdout,14,O2,6,-1.4577021446782659,-7.331817941844767,0.34655826887001373,
P_opt,g-3115314f81a28bbb,interpolation_holdout,14,O3,6,-1.4230909635967106,-7.177886505257207,0.3198688990704266,
P_opt,g-340c0c88fcc14180,interpolation_holdout,16,O0,6,0.18695012923730217,-1.6134346091776628,0.2958600764000612,
P_opt,g-340c0c88fcc14180,interpolation_holdout,16,O2,6,-0.1460436714540058,-2.674067800139524,0.11656734176298193,
P_opt,g-340c0c88fcc14180,interpolation_holdout,16,O3,6,-0.32323104114976015,-3.414583109435947,0.06939398431258212,
P_opt,g-3973175f1911b646,development,18,O0,6,-0.28254872689601856,-3.8956441424574337,0.17829922156389474,
P_opt,g-3973175f1911b646,development,18,O2,6,-0.6376381009298886,-5.225158168674531,0.08457745989190343,
P_opt,g-3973175f1911b646,development,18,O3,6,-0.3225040763799626,-3.719787715480875,0.0849010018983561,
P_opt,g-3cf4bd3967c31b19,development,14,O0,6,0.7450405654092072,1.062324041415208,0.15830604149391403,
P_opt,g-3cf4bd3967c31b19,development,14,O2,6,-0.059054205821004555,-1.6692512254912704,0.0777798924791251,
P_opt,g-3cf4bd3967c31b19,development,14,O3,6,-0.012380889559879408,-1.4813483231805964,0.11455830829176429,
P_opt,g-3e6704b429f1ca32,extrapolation_holdout,20,O0,6,0.22636477139369837,-1.0958359134306175,0.16000974487411357,
P_opt,g-3e6704b429f1ca32,extrapolation_holdout,20,O2,6,0.3819339861329272,0.21896901518682527,0.10031122221060781,
P_opt,g-3e6704b429f1ca32,extrapolation_holdout,20,O3,6,0.34521555613140353,-0.057915840707000184,0.16498593411427834,
P_opt,g-4471e11eca661209,extrapolation_holdout,20,O0,6,-0.04952153074888496,-3.088249528749055,0.049000449329114466,
P_opt,g-4471e11eca661209,extrapolation_holdout,20,O2,6,0.11427276827312775,-1.6081278549878817,0.06647063499596782,
P_opt,g-4471e11eca661209,extrapolation_holdout,20,O3,6,-0.009004100442445514,-2.063361221172668,0.07175856942727181,
P_opt,g-4baa18b9cb3958b8,development,12,O0,6,2.2713947775640473,4.865166321644895,0.5727202779327499,
P_opt,g-4baa18b9cb3958b8,development,12,O2,6,0.42233780002204163,-0.2863691877940592,0.18170332929451194,
P_opt,g-4baa18b9cb3958b8,development,12,O3,6,0.07772613830754585,-1.3204913778546854,0.27229293574594127,
P_opt,g-5017fd274a1c10ec,development,16,O0,6,-0.9517918546268325,-7.088735819164093,0.22145114065681853,
P_opt,g-5017fd274a1c10ec,development,16,O2,6,-0.39623063431159333,-3.889927293348115,0.2894036577048236,
P_opt,g-5017fd274a1c10ec,development,16,O3,6,-0.1307568772647359,-2.784410987543135,0.12856502263732658,
P_opt,g-51ac21fe95f0c3f4,interpolation_holdout,12,O0,6,1.205204795032161,1.977739789987175,0.2435314865650925,
P_opt,g-51ac21fe95f0c3f4,interpolation_holdout,12,O2,6,0.03892762980889373,-1.4125787297667363,0.08927133677489829,
P_opt,g-51ac21fe95f0c3f4,interpolation_holdout,12,O3,6,-0.27071525770428795,-2.336829438009185,0.1196691337596645,
P_opt,g-595b062626366822,development,18,O0,6,0.5255978171524032,-0.6959381893240857,0.19604908653499567,
P_opt,g-595b062626366822,development,18,O2,6,0.06809329517808124,-1.9146591679257068,0.17066525722237713,
