evidence_set,objective,base_graphs,median_eta,mean_eta,used_in_phase3_fit
Phase1_2_historical,O0,10,0.9222853902799542,0.96419119965965,False
Phase1_2_historical,O2,10,0.8114793622825557,0.723650429225071,False
Phase1_2_historical,O3,10,0.8274192184463036,0.7769220601869327,False
Phase2_historical,O0,15,1.0323114563654239,1.3052685516776594,False
Phase2_historical,O2,15,0.7196085248708884,0.7692736773587114,False
Phase2_historical,O3,15,0.8626075528110618,0.7687397648708723,False
Phase3_development,O0,16,0.9880890394470236,1.0004674603627521,True
Phase3_development,O2,16,0.6526765806373873,0.6467314084680748,True
Phase3_development,O3,16,0.6083654944206915,0.6308945383469862,True
Phase3_extrapolation_holdout,O0,5,0.6664260649386602,0.6149865941678273,False
Phase3_extrapolation_holdout,O2,5,0.8219358354912817,0.7884817736749649,False
Phase3_extrapolation_holdout,O3,5,0.9653836887865288,1.2821385529164686,False
Phase3_interpolation_holdout,O0,4,0.8703433357534391,0.999785652179316,False
Phase3_interpolation_holdout,O2,4,0.36151988346643826,0.4126680671275156,False
Phase3_interpolation_holdout,O3,4,0.3794643888108762,0.3489089046521026,False
