task_id,base_graph_id,base_instance_id,size_stratum,stress_level,n_edges,dilution_score,feasible_state_fraction,p_feas_O0,p_feas_O1,p_feas_O2,p_feas_O3,p_opt_O0,p_opt_O1,p_opt_O2,p_opt_O3,p_opt_given_feasible_O0,p_opt_given_feasible_O1,p_opt_given_feasible_O2,p_opt_given_feasible_O3,log_feasibility_gain_O0,log_feasibility_gain_O1,log_feasibility_gain_O2,log_feasibility_gain_O3,expected_route_cost_given_feasible_O0,expected_route_cost_given_feasible_O1,expected_route_cost_given_feasible_O2,expected_route_cost_given_feasible_O3,expected_total_penalty_O0,expected_total_penalty_O1,expected_total_penalty_O2,expected_total_penalty_O3,mean_energy_O0,mean_energy_O1,mean_energy_O2,mean_energy_O3,capacity_gap_mean,capacity_gap_penalty,capacity_gap_cvar,capacity_gap_p_feas_mean,capacity_gap_p_feas_penalty,capacity_gap_p_feas_cvar,capacity_gap_p_opt_mean,capacity_gap_p_opt_penalty,capacity_gap_p_opt_cvar,penalty_gap_closure_fraction,cvar_gap_closure_fraction,O2_base_kappa,tag_OBJECTIVE_LIMITED,tag_CAPACITY_LIMITED,tag_PENALTY_SURROGATE_SUCCESS,tag_CVAR_PARTIAL_ALIGNMENT,mechanistic_tags,pareto_nondominated_O0,pareto_nondominated_O1,pareto_nondominated_O2,pareto_nondominated_O3
task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D6,16,3.9133899436317554,0.0001220703125,0.0262131587619962,0.0255985600464696,0.0448416594263438,0.0421975537211719,0.0105272453331179,0.0102438204568318,0.0173865123251342,0.0165749688253644,0.4016015554897686,0.4001717455292818,0.3877312424999126,0.3927945428990166,2.331909301482072,2.321605479980289,2.5650716195076173,2.538677218380384,13.869038864770838,13.81797325520637,14.03905938014489,14.05516172520394,1.2306733140745192,1.2385023168088434,1.359701271289726,1.362422444623646,1.3413205483545063,1.351291319341176,1.4903893850662844,1.491995685956394,0.2331623180255451,0.2434661395273281,0.026394401127233458,0.0186285006643476,0.0192430993798742,0.002644105705171901,0.0068592669920163,0.0071426918683024,0.0008115434997697998,-0.04419162405416691,0.8867981698297334,0.07030518097922192,True,False,False,False,OBJECTIVE_LIMITED,True,False,True,True
task-v2-095187356858,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D2,16,4.515449934959718,3.0517578125e-05,0.0050555548045714,0.0047513046540321,0.0055749500425496,0.0099016233282736,0.0037937119349008,0.0035662541121149,0.0034896748133625,0.0065938712154566,0.7504046700216674,0.7505841809340649,0.6259562483481159,0.665938401901044,2.21921875766466,2.192262813268444,2.26169091495934,2.511156336094375,17.74716730984833,17.745910733461546,18.61830626156319,18.33843118669269,1.451590469248344,1.4633655845896294,1.595389055490397,1.5331137170685465,1.5282871092675423,1.5403605810679788,1.682042451681123,1.6173483340077155,0.04247215729468001,0.06942810169089597,-0.24946542113503511,0.0005193952379781994,0.0008236453885174999,-0.004326673285724,-0.0003040371215382999,-7.657929875239979e-05,-0.0031041964020941,-0.6346733039527618,6.873622557107141,0.07030518097922192,False,False,False,False,NONE,True,True,False,True
task-v2-0b71cbcaebc2,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D3,16,4.339358675904037,4.57763671875e-05,0.0019741629447588,0.0023100449543221,0.0171775818036128,0.025344556666231,0.0002303378540125,0.0002477338669387,0.0076001912739454,0.0116866892089627,0.1166762118719834,0.1072420112323852,0.4424482654681343,0.4611123943838424,1.6347416718005163,1.7029791074083342,2.57432070133256,2.7432433747345786,16.122842090517445,16.227777215506602,13.879911213449557,13.745316879887865,1.2896830118967026,1.28236567915929,1.5246151877484166,1.574473975261223,1.3525606042493834,1.345790119981486,1.612651499294641,1.6749382028396762,0.9395790295320439,0.8713415939242259,-0.1689226734020184,0.015203418858853998,0.0148675368492907,-0.008166974862618203,0.0073698534199329,0.007352457407006701,-0.004086497935017299,0.07262554129353385,1.1797854870027804,0.07030518097922192,True,False,False,False,OBJECTIVE_LIMITED,False,False,False,True
task-v2-0c6c4504c3d3,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D5,13,3.2144199392957367,0.0006103515625,0.0687499477902451,0.0685553334302571,0.0930859227484381,0.0899421242993366,0.0199825441819598,0.0200856491191225,0.0261939035175244,0.0251821617425555,0.2906554088291992,0.2929844858760133,0.2813948956418757,0.2799818431989306,2.051692311988335,2.050461186739687,2.1833039475066025,2.168383080039165,13.399356291322896,13.333656661221962,13.33239740716799,13.365448944151732,1.2582694985431042,1.2755488715929666,1.3594182222693274,1.326908903130933,1.3385118277668704,1.3587937279212752,1.4546750021267496,1.4190346949654762,0.1316116355182677,0.13284276076691537,0.014920867467437482,0.024335974958193007,0.024530589318181,0.003143798449101509,0.0062113593355646,0.006108254398401899,0.0010117417749688981,-0.009354228019427487,0.8866295718560046,-0.10168452836737932,True,True,False,False,OBJECTIVE_LIMITED;CAPACITY_LIMITED,True,True,True,False
task-v2-11173062a501,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,D5,19,4.941418667231999,1.1444091796875e-05,0.0096019104079707,0.0103354284483942,0.0191649443833865,0.0266570666794359,0.0043503903843717,0.0044900689960265,0.0076420575154979,0.0095921691160737,0.4530755026375162,0.4344347230930846,0.3987518754357884,0.3598358825981956,2.923776316635875,2.9557471519608214,3.223926230502863,3.367231025549792,11.221746570281896,11.473028896782512,11.957747076661295,12.497636958576468,1.151509594182401,1.1753056116129863,1.3170920585134362,1.3394844784049778,1.21182528487881,1.2400989833800522,1.3948304394743458,1.4323502068651464,0.3001499138669881,0.2681790785420417,-0.14330479504692883,0.009563033975415799,0.0088295159349923,-0.007492122296049401,0.0032916671311262,0.0031519885194714005,-0.0019501116005758,0.10651622355325514,1.4774440652028125,1.042148760780945,True,False,False,False,OBJECTIVE_LIMITED,True,True,True,True
task-v2-2d64318cb7be,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D2,10,2.709269960975831,0.001953125,0.0609591209177778,0.064009951300379,0.052863284002841,0.0700640126146216,0.0387947143303191,0.0407816151786008,0.02913339929017,0.0388437231450688,0.6364054098261328,0.6371136729541509,0.5511083891156722,0.5544033476747029,1.4943086564577848,1.515517457754738,1.4324241000971212,1.554764967016106,16.63594590173867,16.62886327045849,17.48891610884328,17.45596652325297,1.2982238550462235,1.292219334431965,1.5521640643560397,1.590815161353051,1.3633276929993745,1.3568819969294363,1.6377131451312703,1.6880350900840315,-0.06188455636066359,-0.08309335765761672,-0.12234086691898471,-0.008095836914936795,-0.011146667297537993,-0.017200728611780597,-0.0096613150401491,-0.011648215888430801,-0.009710323854898801,,,0.10518404367317832,False,False,False,False,NONE,False,True,False,True
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D3,10,2.533178701920149,0.0029296875,0.0822313691186839,0.0860911627654492,0.0999468819729407,0.1031378135327585,0.0557645871031901,0.0584536418637076,0.0660028447353683,0.0694326583491302,0.6781425105874803,0.678973776007202,0.6603792277705841,0.6732027369096505,1.448216223065113,1.4681372754507285,1.5329479519693976,1.546596622274509,16.218574894125197,16.210262239927978,16.396207722294157,16.267972630903493,1.2147533139679072,1.2141158432895955,1.2576424375625697,1.2217692968361624,1.308964645828155,1.3102268748150596,1.3646965178253485,1.325262475726062,0.0847317289042846,0.06481067651866912,-0.013648670305111299,0.017715512854256807,0.013855719207491499,-0.0031909315598177973,0.0102382576321782,0.0075492028716607,-0.003429813613761906,0.23510735167600408,1.1610809844388899,0.10518404367317832,False,False,False,False,NONE,False,True,False,True
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D1,16,4.816479930623699,1.52587890625e-05,0.0045762401687283,0.0046682569015,0.0092316630219668,0.0127592876017221,0.0045762401687283,0.0046682569015,0.0092316630219668,0.0127592876017221,1.0,1.0,1.0,1.0,2.4769887395066537,2.485634678561269,2.7817598739254628,2.92230635741652,16.0,16.0,16.0,16.0,1.5199250940134654,1.5268068345156096,1.7627713184682396,1.797607380230113,1.5812563544968523,1.5882368314008932,1.8433681564424755,1.8977203772692013,0.3047711344188091,0.2961251953641937,-0.14054648349105703,0.004655422853238499,0.0045634061204668,-0.003527624579755301,0.004655422853238499,0.0045634061204668,-0.003527624579755301,0.02836862838438753,1.4611541829874264,0.07030518097922192,True,False,False,False,OBJECTIVE_LIMITED,False,False,False,True
task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,10,3.010299956639812,0.0009765625,0.0285626067695536,0.027647178164171,0.0499136840189029,0.0451292256647498,0.0285626067695536,0.027647178164171,0.0499136840189029,0.0451292256647498,1.0,1.0,1.0,1.0,1.4660977974880067,1.4519507678585208,1.7085195820065346,1.6647578385222148,23.0,23.0,23.000000000000004,23.0,1.6306848417025277,1.6373777651674195,1.7970575841339116,1.7819123926973035,1.73431049241351,1.742438537995702,1.9157228647010136,1.9002719832022688,0.24242178451852792,0.2565688141480138,0.043761743484319826,0.0213510772493493,0.0222665058547319,0.004784458354153101,0.0213510772493493,0.0222665058547319,0.004784458354153101,-0.05835708889604618,0.8194809778698944,0.1130294833144868,True,False,False,False,OBJECTIVE_LIMITED,False,False,True,False
task-v2-420d9636beee,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,D1,19,5.719569917615643,1.9073486328125e-06,0.0027419387060167,0.0031859984242534,0.0067982736912782,0.0056470197806504,0.0027419387060167,0.0031859984242534,0.0067982736912782,0.0056470197806504,1.0,1.0,1.0,1.0,3.1576276598502298,3.2228154742853405,3.551968562449213,3.4713892266226303,11.0,11.0,11.000000000000002,11.0,1.3421905329311985,1.34648048967482,1.658020234467934,1.7213942123683066,1.38911616591288,1.395030791768516,1.7467008609510568,1.7980444304547718,0.39434090259898325,0.32915308816387245,0.08057933582658272,0.0040563349852615,0.0036122752670248,0.0011512539106278002,0.0040563349852615,0.0036122752670248,0.0011512539106278002,0.16530827516363977,0.7956607207228356,0.28567612216689037,True,False,False,False,OBJECTIVE_LIMITED,False,False,True,False
