task_id,graph_id,optimizer,seed,O0_mean_energy,O3_mean_energy,O0_P_feas,O3_P_feas,O0_G_feas,O3_G_feas,delta_mean_energy_O3_minus_O0,delta_P_feas_O3_minus_O0,delta_G_feas_O3_minus_O0,O0_lower_energy_but_lower_feasibility_than_O3,O0_pass_improves_energy_but_reduces_feasibility_vs_embedded_p2
task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,COBYLA,1103,1.409716826497513,1.6013019452218247,0.0024811563038918006,0.025036045180480818,1.3080440677506016,2.3119556702490662,0.1915851187243116,0.02255488887658902,1.0039116024984647,True,True
task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,COBYLA,3301,1.5400514118409858,1.7579233574275286,0.007383599528472607,0.015380678400934955,1.7816580770327335,2.100365435097486,0.21787194558654277,0.007997078872462348,0.3187073580647526,True,False
task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,Nelder-Mead,1103,1.3869555422048427,1.5145870366614491,0.002352358587207962,0.01576871944995728,1.2848934687634834,2.111186370099647,0.12763149445660638,0.013416360862749319,0.8262929013361635,True,True
task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,Nelder-Mead,3301,1.399199654622536,1.7641106038157932,0.0032897641028743286,0.02057773015018538,1.4305547010063482,2.22678741135573,0.3649109491932572,0.017287966047311053,0.796232710349382,True,True
task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,SLSQP,1103,1.2974962186172612,1.5217853661532321,0.003249936299329694,0.016676787481363,1.4252647922657902,2.135502338045706,0.22428914753597096,0.013426851182033305,0.7102375457799157,True,True
task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,SLSQP,2207,1.2152642552942183,1.739052032880334,0.004268711982478703,0.0217042105537898,1.5436867968100454,2.2499339375213765,0.5237877775861157,0.017435498571311096,0.7062471407113311,True,True
task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,SLSQP,3301,1.3480545617595379,1.4594593318057905,0.006818797087102327,0.014479310472284509,1.7470977105886423,2.0741378241937003,0.1114047700462526,0.007660513385182182,0.327040113605058,True,False
task-v2-095187356858,g-3ff7063ef9ea5cfb,COBYLA,2207,1.4603995029532,1.798903387462453,0.0003306209036566017,0.005411892660792783,1.0347802435288322,2.2487991091957835,0.33850388450925295,0.005081271757136181,1.2140188656669513,True,True
task-v2-095187356858,g-3ff7063ef9ea5cfb,COBYLA,3301,1.5070381139427806,1.7287673449966177,0.004385725514610104,0.003232686973802983,2.1574913823603916,2.0250135881850215,0.22172923105383702,-0.0011530385408071208,-0.1324777941753701,False,False
task-v2-095187356858,g-3ff7063ef9ea5cfb,Nelder-Mead,2207,1.4953379380902927,1.6794906931657172,0.0008481698593735709,0.015651131941637694,1.4439327702370064,2.709995687591689,0.1841527550754245,0.014802962082264122,1.2660629173546827,True,True
task-v2-095187356858,g-3ff7063ef9ea5cfb,SLSQP,2207,1.4303658506385701,1.6949465649950977,0.00041454027240380483,0.01833235387992524,1.1330166634120924,2.7786681670484725,0.2645807143565275,0.017917813607521434,1.6456515036363801,True,True
task-v2-0b71cbcaebc2,g-3ff7063ef9ea5cfb,COBYLA,1103,1.5260408013747164,1.8176842252334555,0.001117036940793228,0.010785049738129977,1.3874262115240112,2.372180828211917,0.2916434238587391,0.009668012797336749,0.9847546166879058,True,True
task-v2-0b71cbcaebc2,g-3ff7063ef9ea5cfb,COBYLA,2207,1.4308215752990043,1.8007310719130314,0.001222553778858366,0.011353533533693656,1.4266266482786099,2.3944897229270916,0.36990949661402706,0.01013097975483529,0.9678630746484818,True,True
task-v2-0b71cbcaebc2,g-3ff7063ef9ea5cfb,COBYLA,3301,1.541138042332649,1.7037327686112236,0.004348374285187019,0.010858278664852805,1.9776855947119127,2.3751196590198767,0.16259472627857452,0.006509904379665786,0.3974340643079639,True,False
task-v2-0b71cbcaebc2,g-3ff7063ef9ea5cfb,SLSQP,2207,1.3672370278579953,1.6339967874654238,0.002577692900850081,0.031915519725698026,1.750589851368805,2.8433605969607876,0.2667597596074285,0.029337826824847944,1.0927707455919826,True,True
task-v2-0c6c4504c3d3,g-8a16a856f5377a40,COBYLA,1103,1.3855528032729914,1.7234416988729904,0.003441294833119656,0.04287541255789606,0.7511418217137278,1.8466282512563177,0.337888895599999,0.0394341177247764,1.09548642954259,True,True
task-v2-0c6c4504c3d3,g-8a16a856f5377a40,COBYLA,3301,1.518761907856031,1.7945028523708748,0.034124516271106506,0.10013296361200413,1.7474864430873136,2.2149970093639686,0.27574094451484377,0.06600844734089763,0.467510566276655,True,False
task-v2-0c6c4504c3d3,g-8a16a856f5377a40,Nelder-Mead,1103,1.3852264960637557,1.7449496368676505,0.010217250259247015,0.08857389334251697,1.2237539703276206,2.1617256741847712,0.3597231408038948,0.07835664308326996,0.9379717038571507,True,True
task-v2-0c6c4504c3d3,g-8a16a856f5377a40,Nelder-Mead,3301,1.47779479337796,1.8224642658392505,0.009007682212914847,0.0953973708790999,1.169032995354074,2.1939563451483326,0.3446694724612904,0.08638968866618506,1.0249233497942587,True,True
task-v2-0c6c4504c3d3,g-8a16a856f5377a40,SLSQP,3301,1.2612710365624271,1.844178824898769,0.008204402080281673,0.11700054906542731,1.1284668753617186,2.2826078391233153,0.5829077883363418,0.10879614698514564,1.1541409637615967,True,True
task-v2-11173062a501,g-a87f1b9ac089cc45,COBYLA,1103,1.3526440048527717,1.4055003872880767,0.004972440296673974,0.01328816364718172,2.6379882445527145,3.064883635157454,0.052856382435304994,0.008315723350507745,0.4268953906047397,True,False
task-v2-11173062a501,g-a87f1b9ac089cc45,COBYLA,2207,1.3827212609809618,1.5050635884005723,0.005188694978837096,0.007188661260059076,2.656476808364105,2.7980666867521204,0.12234232741961049,0.0019999662812219795,0.1415898783880154,True,False
task-v2-11173062a501,g-a87f1b9ac089cc45,COBYLA,3301,1.4528233008049294,1.6957160248390746,0.00618886513114054,0.008005012992975694,2.733029685804656,2.844780708393385,0.2428927240341452,0.0018161478618351533,0.11175102258872904,True,False
task-v2-11173062a501,g-a87f1b9ac089cc45,Nelder-Mead,1103,1.2692550103843265,1.3163828774750852,0.0028510331894059104,0.021150362881788624,2.396420940273464,3.266736490300337,0.04712786709075867,0.018299329692382713,0.8703155500268731,True,True
task-v2-11173062a501,g-a87f1b9ac089cc45,SLSQP,1103,1.351203898369583,1.4486481669670206,0.005240795998657243,0.025080196672897383,2.6608159220725853,3.3407496050373755,0.09744426859743749,0.01983940067424014,0.6799336829647902,True,False
task-v2-2d64318cb7be,g-6aa6775bed3bc2cc,COBYLA,1103,1.622348278085267,2.054030067857933,0.0003720006496668014,0.013092278873371601,-0.7201863406840444,0.8262852084425747,0.43168178977266614,0.0127202782237048,1.5464715491266192,True,True
task-v2-2d64318cb7be,g-6aa6775bed3bc2cc,COBYLA,3301,1.5497861594357554,2.04861142577826,0.03966886318795049,0.06533889194864118,1.3077197158166496,1.5244417261830305,0.49882526634250457,0.02567002876069069,0.21672201036638095,True,False
